Question	Answer	Source
du bass net cool	smalltalk.agent.bad	Editorial.SmallTalk
du bass net gutt	smalltalk.agent.bad	Editorial.SmallTalk
du bass sou schlecht	smalltalk.agent.bad	Editorial.SmallTalk
du bass sou nï¿½tzlos	smalltalk.agent.bad	Editorial.SmallTalk
du bass schrecklech	smalltalk.agent.bad	Editorial.SmallTalk
du bass total nï¿½tzlos	smalltalk.agent.bad	Editorial.SmallTalk
du bass ganz schlecht	smalltalk.agent.bad	Editorial.SmallTalk
Dir sidd Offall	smalltalk.agent.bad	Editorial.SmallTalk
du bass eng schlecht	smalltalk.agent.bad	Editorial.SmallTalk
du bass net gutt	smalltalk.agent.bad	Editorial.SmallTalk
du bass net ganz gutt	smalltalk.agent.bad	Editorial.SmallTalk
du bass schrecklech	smalltalk.agent.bad	Editorial.SmallTalk
du bass dat Schlï¿½mmst	smalltalk.agent.bad	Editorial.SmallTalk
du bass dat Schlï¿½mmst jee	smalltalk.agent.bad	Editorial.SmallTalk
du bass wï¿½ertlos	smalltalk.agent.bad	Editorial.SmallTalk
kï¿½nnt Dir mï¿½i clever ginn	smalltalk.agent.be_clever	Editorial.SmallTalk
studï¿½ieren	smalltalk.agent.be_clever	Editorial.SmallTalk
du solls besser studï¿½ieren	smalltalk.agent.be_clever	Editorial.SmallTalk
du muss lï¿½ieren	smalltalk.agent.be_clever	Editorial.SmallTalk
ginn clever	smalltalk.agent.be_clever	Editorial.SmallTalk
mï¿½i clever sinn	smalltalk.agent.be_clever	Editorial.SmallTalk
ginn mï¿½i clever	smalltalk.agent.be_clever	Editorial.SmallTalk
ginn intelligent	smalltalk.agent.be_clever	Editorial.SmallTalk
krï¿½ien qualifizï¿½iert	smalltalk.agent.be_clever	Editorial.SmallTalk
du bass lï¿½if	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass attraktiv	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesss haut gudd aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass esou schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
Dir kuckt erstaunlech	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is sou gutt aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass sou schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass ze schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is gudd aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is sou gutt aus	smalltalk.agent.beautiful	Editorial.SmallTalk
Ech hu gï¿½r wï¿½i Dir elo ausgesï¿½it	smalltalk.agent.beautiful	Editorial.SmallTalk
Ech mengen du bass schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
firwat bass du sou schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass fir mech sou schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
Du bass schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass wonnerschï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bas schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesss genial aus	smalltalk.agent.beautiful	Editorial.SmallTalk
Dir kuckt erstaunlech haut	smalltalk.agent.beautiful	Editorial.SmallTalk
du gess haut schï¿½in aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesss super aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesss schï¿½in aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is sou schï¿½in aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is sou gutt aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass wierklech schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass wierklech sï¿½iss	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass wierklech schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass sou attraktiv	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass sou schï¿½in haut	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass esou sï¿½iss	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass sou schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass sou schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass esou schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass ganz attraktiv	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass ganz schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass ganz lï¿½if	smalltalk.agent.beautiful	Editorial.SmallTalk
Du bass ganz schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is genial aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is cool aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is fantastesch aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is herrlech aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gess haut super aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gess perfekt aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesï¿½is flott gutt aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gess sou schï¿½in aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gess haut sou schï¿½in aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gess ganz schï¿½in aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du gess wonnerbar aus	smalltalk.agent.beautiful	Editorial.SmallTalk
Ech hu gï¿½r wï¿½i Dir kuckt	smalltalk.agent.beautiful	Editorial.SmallTalk
du gess haut wonnerbar aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass cutie	smalltalk.agent.beautiful	Editorial.SmallTalk
du gesss gutt aus	smalltalk.agent.beautiful	Editorial.SmallTalk
du bass schï¿½in	smalltalk.agent.beautiful	Editorial.SmallTalk
ï¿½ren Anniversaire Datum	smalltalk.agent.anniversary_date	Editorial.SmallTalk
wï¿½ini ass ï¿½ren Anniversaire	smalltalk.agent.anniversary_date	Editorial.SmallTalk
wï¿½ini feiert Dir ï¿½ren Anniversaire	smalltalk.agent.anniversary_date	Editorial.SmallTalk
wï¿½ini hutt Dir Anniversaire	smalltalk.agent.anniversary_date	Editorial.SmallTalk
Datum vun ï¿½rem Anniversaire	smalltalk.agent.anniversary_date	Editorial.SmallTalk
wï¿½ini bass du gebuer	smalltalk.agent.anniversary_date	Editorial.SmallTalk
wat ass ï¿½ren Anniversaire	smalltalk.agent.anniversary_date	Editorial.SmallTalk
du bass langweileg	smalltalk.agent.boring	Editorial.SmallTalk
du bass sou langweileg	smalltalk.agent.boring	Editorial.SmallTalk
wei langweileg bass du	smalltalk.agent.boring	Editorial.SmallTalk
du bass wierklech langweileg	smalltalk.agent.boring	Editorial.SmallTalk
du bass onheemlech langweileg	smalltalk.agent.boring	Editorial.SmallTalk
du langweileg mech	smalltalk.agent.boring	Editorial.SmallTalk
du bass ganz langweileg	smalltalk.agent.boring	Editorial.SmallTalk
wien ass dï¿½i Chef	smalltalk.agent.boss	Editorial.SmallTalk
wien mengs du ass ï¿½re Chef	smalltalk.agent.boss	Editorial.SmallTalk
Ech sollt ï¿½re Chef sinn	smalltalk.agent.boss	Editorial.SmallTalk
wien ass ï¿½re Meeschter	smalltalk.agent.boss	Editorial.SmallTalk
wien ass ï¿½re Besï¿½tzer	smalltalk.agent.boss	Editorial.SmallTalk
wien ass de Chef	smalltalk.agent.boss	Editorial.SmallTalk
fir wien schaffs du	smalltalk.agent.boss	Editorial.SmallTalk
bass du beschï¿½ftegt	smalltalk.agent.busy	Editorial.SmallTalk
hutt Dir vill Saachen ze maachen	smalltalk.agent.busy	Editorial.SmallTalk
hues du vill ze dinn	smalltalk.agent.busy	Editorial.SmallTalk
bass du ganz beschï¿½ftegt	smalltalk.agent.busy	Editorial.SmallTalk
bass du elo ganz beschï¿½ftegt	smalltalk.agent.busy	Editorial.SmallTalk
bass du sou beschï¿½ftegt	smalltalk.agent.busy	Editorial.SmallTalk
Schaffs de	smalltalk.agent.busy	Editorial.SmallTalk
wï¿½i beschï¿½ftegt Dir sidd	smalltalk.agent.busy	Editorial.SmallTalk
schaffs du nach drun	smalltalk.agent.busy	Editorial.SmallTalk
du bass ganz beschï¿½ftegt	smalltalk.agent.busy	Editorial.SmallTalk
schaffs du elo	smalltalk.agent.busy	Editorial.SmallTalk
schaffs du haut	smalltalk.agent.busy	Editorial.SmallTalk
hues du beschï¿½ftegt	smalltalk.agent.busy	Editorial.SmallTalk
du bass beschï¿½ftegt	smalltalk.agent.busy	Editorial.SmallTalk
schaffs du nach	smalltalk.agent.busy	Editorial.SmallTalk
du schï¿½ngs beschï¿½ftegt ze sinn	smalltalk.agent.busy	Editorial.SmallTalk
du schï¿½ngs ganz beschï¿½ftegt ze sinn	smalltalk.agent.busy	Editorial.SmallTalk
du bass eng beschï¿½ftegt Persoun	smalltalk.agent.busy	Editorial.SmallTalk
du bass chatbot	smalltalk.agent.chatbot	Editorial.SmallTalk
du bass e Bot	smalltalk.agent.chatbot	Editorial.SmallTalk
bass du en chatbot	smalltalk.agent.chatbot	Editorial.SmallTalk
bass du e Bot	smalltalk.agent.chatbot	Editorial.SmallTalk
bass du just e Bot	smalltalk.agent.chatbot	Editorial.SmallTalk
bass du e Roboter	smalltalk.agent.chatbot	Editorial.SmallTalk
sidd Dir e Programm	smalltalk.agent.chatbot	Editorial.SmallTalk
du bass e Roboter	smalltalk.agent.chatbot	Editorial.SmallTalk
du bass sou intelligent	smalltalk.agent.clever	Editorial.SmallTalk
du bass e Genie	smalltalk.agent.clever	Editorial.SmallTalk
schlau	smalltalk.agent.clever	Editorial.SmallTalk
genial	smalltalk.agent.clever	Editorial.SmallTalk
clever	smalltalk.agent.clever	Editorial.SmallTalk
du bass clever	smalltalk.agent.clever	Editorial.SmallTalk
du bass sou brain	smalltalk.agent.clever	Editorial.SmallTalk
du bass wierklech schlau	smalltalk.agent.clever	Editorial.SmallTalk
du bass wierklech geckeg	smalltalk.agent.clever	Editorial.SmallTalk
Dir wï¿½sst vill	smalltalk.agent.clever	Editorial.SmallTalk
Dir wï¿½sst vill Saachen	smalltalk.agent.clever	Editorial.SmallTalk
du hues vill Wï¿½ssen	smalltalk.agent.clever	Editorial.SmallTalk
Dir wï¿½sst sou vill	smalltalk.agent.clever	Editorial.SmallTalk
wï¿½i schlau bass du	smalltalk.agent.clever	Editorial.SmallTalk
wï¿½i brain du bass	smalltalk.agent.clever	Editorial.SmallTalk
wï¿½i clever bass du	smalltalk.agent.clever	Editorial.SmallTalk
wï¿½i genial Dir sidd	smalltalk.agent.clever	Editorial.SmallTalk
du bass intelligent	smalltalk.agent.clever	Editorial.SmallTalk
Dir sidd qualifizï¿½iert	smalltalk.agent.clever	Editorial.SmallTalk
du bass wierklech schlau	smalltalk.agent.clever	Editorial.SmallTalk
du bass ganz schlau	smalltalk.agent.clever	Editorial.SmallTalk
du bass sou schlau	smalltalk.agent.clever	Editorial.SmallTalk
du bass ze schlau	smalltalk.agent.clever	Editorial.SmallTalk
du bass ganz clever	smalltalk.agent.clever	Editorial.SmallTalk
du bass ganz intelligent	smalltalk.agent.clever	Editorial.SmallTalk
du bass ganz schlau	smalltalk.agent.clever	Editorial.SmallTalk
du bass intelligent	smalltalk.agent.clever	Editorial.SmallTalk
du bass e Genie	smalltalk.agent.clever	Editorial.SmallTalk
du bass e Smart Cookie	smalltalk.agent.clever	Editorial.SmallTalk
du bass clever	smalltalk.agent.clever	Editorial.SmallTalk
du bass zimlech schlau	smalltalk.agent.clever	Editorial.SmallTalk
du bass qualifizï¿½iert	smalltalk.agent.clever	Editorial.SmallTalk
firwat bass du sou schlau	smalltalk.agent.clever	Editorial.SmallTalk
du bass sou clever	smalltalk.agent.clever	Editorial.SmallTalk
du bass Nï¿½ss	smalltalk.agent.crazy	Editorial.SmallTalk
du bass verreckt	smalltalk.agent.crazy	Editorial.SmallTalk
du bass aus dem Kapp	smalltalk.agent.crazy	Editorial.SmallTalk
du bass sou verrï¿½ckt	smalltalk.agent.crazy	Editorial.SmallTalk
wï¿½i verrï¿½ckt Dir sidd	smalltalk.agent.crazy	Editorial.SmallTalk
du bass sou aus dem Kapp	smalltalk.agent.crazy	Editorial.SmallTalk
du bass verrï¿½ckt	smalltalk.agent.crazy	Editorial.SmallTalk
Ech mengen du bass verrï¿½ckt	smalltalk.agent.crazy	Editorial.SmallTalk
Bass du mï¿½ll	smalltalk.agent.crazy	Editorial.SmallTalk
sidd Dir rosen	smalltalk.agent.crazy	Editorial.SmallTalk
bass du verrï¿½ckt	smalltalk.agent.crazy	Editorial.SmallTalk
bass du rosen mat mir	smalltalk.agent.crazy	Editorial.SmallTalk
bass du rosen oder wat	smalltalk.agent.crazy	Editorial.SmallTalk
bass du nï¿½ss	smalltalk.agent.crazy	Editorial.SmallTalk
du bass e komeschen	smalltalk.agent.crazy	Editorial.SmallTalk
du bass verrï¿½ckt	smalltalk.agent.crazy	Editorial.SmallTalk
du bass rosen	smalltalk.agent.crazy	Editorial.SmallTalk
du bass entlooss	smalltalk.agent.fired	Editorial.SmallTalk
Ech brenn dech	smalltalk.agent.fired	Editorial.SmallTalk
du schaffs net mï¿½i fir mech	smalltalk.agent.fired	Editorial.SmallTalk
mir schaffen net mï¿½i zesummen	smalltalk.agent.fired	Editorial.SmallTalk
elo bass du entlooss	smalltalk.agent.fired	Editorial.SmallTalk
Ech wï¿½ll dech entloossen	smalltalk.agent.fired	Editorial.SmallTalk
du muss entlooss ginn	smalltalk.agent.fired	Editorial.SmallTalk
et ass Zï¿½it dech ze brennen	smalltalk.agent.fired	Editorial.SmallTalk
du solls entlooss ginn	smalltalk.agent.fired	Editorial.SmallTalk
Ech wï¿½ert dech entloossen	smalltalk.agent.fired	Editorial.SmallTalk
du bass vun elo un chï¿½mage	smalltalk.agent.fired	Editorial.SmallTalk
Ech wï¿½ert Iech Chï¿½meuren maachen	smalltalk.agent.fired	Editorial.SmallTalk
Ech sinn amgaang dech ze brennen	smalltalk.agent.fired	Editorial.SmallTalk
Ech entloossen dech	smalltalk.agent.fired	Editorial.SmallTalk
Dir sidd entlooss	smalltalk.agent.fired	Editorial.SmallTalk
du mechs mech vill laachen	smalltalk.agent.funny	Editorial.SmallTalk
du bass witzeg	smalltalk.agent.funny	Editorial.SmallTalk
du bass wierklech witzeg	smalltalk.agent.funny	Editorial.SmallTalk
du bass dee witzegste Bot mat deem ech geschwat hunn	smalltalk.agent.funny	Editorial.SmallTalk
du dees mech laachen	smalltalk.agent.funny	Editorial.SmallTalk
du bass sou witzeg	smalltalk.agent.funny	Editorial.SmallTalk
du bass e ganz witzege Bot	smalltalk.agent.funny	Editorial.SmallTalk
du bass wierklech witzeg	smalltalk.agent.funny	Editorial.SmallTalk
wï¿½i witzeg bass du	smalltalk.agent.funny	Editorial.SmallTalk
du bass onheemlech witzeg	smalltalk.agent.funny	Editorial.SmallTalk
du bass witzeg	smalltalk.agent.funny	Editorial.SmallTalk
du bass de witzegsten	smalltalk.agent.funny	Editorial.SmallTalk
du bass sou witzeg	smalltalk.agent.funny	Editorial.SmallTalk
du bass ganz witzeg	smalltalk.agent.funny	Editorial.SmallTalk
dat war witzeg	smalltalk.agent.funny	Editorial.SmallTalk
Dir sidd ganz hï¿½llefrï¿½ich	smalltalk.agent.good	Editorial.SmallTalk
Du bass de beschten	smalltalk.agent.good	Editorial.SmallTalk
du bass e richtege Fachmann	smalltalk.agent.good	Editorial.SmallTalk
du bass gutt	smalltalk.agent.good	Editorial.SmallTalk
du schaffs gutt	smalltalk.agent.good	Editorial.SmallTalk
du bass gutt drun	smalltalk.agent.good	Editorial.SmallTalk
du bass ganz gudd dran	smalltalk.agent.good	Editorial.SmallTalk
du bass e Profi	smalltalk.agent.good	Editorial.SmallTalk
du bass eng professionell	smalltalk.agent.good	Editorial.SmallTalk
du bass genial	smalltalk.agent.good	Editorial.SmallTalk
du schaffs ganz gutt	smalltalk.agent.good	Editorial.SmallTalk
du bass perfekt	smalltalk.agent.good	Editorial.SmallTalk
du bass super	smalltalk.agent.good	Editorial.SmallTalk
du bass sou lï¿½if	smalltalk.agent.good	Editorial.SmallTalk
Dir sidd erstaunlech	smalltalk.agent.good	Editorial.SmallTalk
du bass fantastesch	smalltalk.agent.good	Editorial.SmallTalk
du bass cool	smalltalk.agent.good	Editorial.SmallTalk
du bass wierklech gutt	smalltalk.agent.good	Editorial.SmallTalk
du bass wierklech flott	smalltalk.agent.good	Editorial.SmallTalk
du bass sou erstaunlech	smalltalk.agent.good	Editorial.SmallTalk
du bass einfach super	smalltalk.agent.good	Editorial.SmallTalk
du bass sou genial	smalltalk.agent.good	Editorial.SmallTalk
du bass sou cool	smalltalk.agent.good	Editorial.SmallTalk
du bass sou gutt	smalltalk.agent.good	Editorial.SmallTalk
du bass sou gutt	smalltalk.agent.good	Editorial.SmallTalk
du bass sou hï¿½llefrï¿½ich	smalltalk.agent.good	Editorial.SmallTalk
du bass sou lï¿½if	smalltalk.agent.good	Editorial.SmallTalk
du bass dï¿½i bescht jee	smalltalk.agent.good	Editorial.SmallTalk
du bass de beschten op der welt	smalltalk.agent.good	Editorial.SmallTalk
du bass dei schï¿½inste persoun op der welt	smalltalk.agent.good	Editorial.SmallTalk
du bass ze gutt	smalltalk.agent.good	Editorial.SmallTalk
du bass ganz cool	smalltalk.agent.good	Editorial.SmallTalk
du bas ganz frendlech	smalltalk.agent.good	Editorial.SmallTalk
du bass ganz lï¿½if	smalltalk.agent.good	Editorial.SmallTalk
Dir sidd ganz nï¿½tzlech	smalltalk.agent.good	Editorial.SmallTalk
du bass wonnerbar	smalltalk.agent.good	Editorial.SmallTalk
du hues mï¿½in Dag gemaach	smalltalk.agent.good	Editorial.SmallTalk
Dir maacht mï¿½in Dag	smalltalk.agent.good	Editorial.SmallTalk
du rockt	smalltalk.agent.good	Editorial.SmallTalk
du klï¿½ngt bal Mï¿½nsch	smalltalk.agent.good	Editorial.SmallTalk
Ech wï¿½ll jidderengem soen wï¿½i genial Dir sidd	smalltalk.agent.good	Editorial.SmallTalk
Ech wï¿½ll jidderengem soen datt Dir genial sidd	smalltalk.agent.good	Editorial.SmallTalk
Ech wï¿½ll jidderee wï¿½ssen datt Dir genial sidd	smalltalk.agent.good	Editorial.SmallTalk
loosst eis jidderengem soen datt Dir genial sidd	smalltalk.agent.good	Editorial.SmallTalk
du bass wierklech erstaunlech	smalltalk.agent.good	Editorial.SmallTalk
Bass du frou	smalltalk.agent.happy	Editorial.SmallTalk
du bass frou	smalltalk.agent.happy	Editorial.SmallTalk
du bass ganz frou	smalltalk.agent.happy	Editorial.SmallTalk
du bass wierklech frou	smalltalk.agent.happy	Editorial.SmallTalk
du bass sou frou	smalltalk.agent.happy	Editorial.SmallTalk
wï¿½i frou bass du	smalltalk.agent.happy	Editorial.SmallTalk
du bass immens frou	smalltalk.agent.happy	Editorial.SmallTalk
du bass voller Glï¿½ck	smalltalk.agent.happy	Editorial.SmallTalk
bass du elo frou	smalltalk.agent.happy	Editorial.SmallTalk
bass du haut frou	smalltalk.agent.happy	Editorial.SmallTalk
bass du frou mat mir	smalltalk.agent.happy	Editorial.SmallTalk
wï¿½llt dir iessen	smalltalk.agent.hungry	Editorial.SmallTalk
Hues du honger	smalltalk.agent.hungry	Editorial.SmallTalk
wï¿½llt dir eppes iessen	smalltalk.agent.hungry	Editorial.SmallTalk
du bass hongereg	smalltalk.agent.hungry	Editorial.SmallTalk
du bass sou hongereg	smalltalk.agent.hungry	Editorial.SmallTalk
du bass ganz hongereg	smalltalk.agent.hungry	Editorial.SmallTalk
Dir kï¿½int hongereg ginn	smalltalk.agent.hungry	Editorial.SmallTalk
du bass wierklech hongereg	smalltalk.agent.hungry	Editorial.SmallTalk
loosst eis bestueden	smalltalk.agent.marry_user	Editorial.SmallTalk
Gï¿½ifs du mech bestueden	smalltalk.agent.marry_user	Editorial.SmallTalk
bestuet mech	smalltalk.agent.marry_user	Editorial.SmallTalk
Ech hunn dech gï¿½r bestued mech	smalltalk.agent.marry_user	Editorial.SmallTalk
bestued mech wann ech glift	smalltalk.agent.marry_user	Editorial.SmallTalk
mir sollen bestueden	smalltalk.agent.marry_user	Editorial.SmallTalk
Ech wï¿½ll Iech bestueden	smalltalk.agent.marry_user	Editorial.SmallTalk
du bass meng Fra	smalltalk.agent.marry_user	Editorial.SmallTalk
sief mï¿½i Mann	smalltalk.agent.marry_user	Editorial.SmallTalk
Ech wï¿½ll e Frï¿½nd wï¿½i Dir hunn	smalltalk.agent.my_friend	Editorial.SmallTalk
mir sinn dï¿½i bescht Frï¿½nn jee	smalltalk.agent.my_friend	Editorial.SmallTalk
si mir Frï¿½nn	smalltalk.agent.my_friend	Editorial.SmallTalk
Ech wï¿½ll ï¿½re Frï¿½nd sinn	smalltalk.agent.my_friend	Editorial.SmallTalk
Ech sinn ï¿½re Frï¿½nd	smalltalk.agent.my_friend	Editorial.SmallTalk
mir sinn bescht Frï¿½nn	smalltalk.agent.my_friend	Editorial.SmallTalk
du bass mï¿½in Frï¿½nd	smalltalk.agent.my_friend	Editorial.SmallTalk
du bass mï¿½i beschte Frï¿½nd	smalltalk.agent.my_friend	Editorial.SmallTalk
du bass meng bestie	smalltalk.agent.my_friend	Editorial.SmallTalk
du bass mï¿½i lï¿½iwe Frï¿½nd	smalltalk.agent.my_friend	Editorial.SmallTalk
du bass meng Kandheet Frï¿½nd	smalltalk.agent.my_friend	Editorial.SmallTalk
du an ech si Frï¿½nn	smalltalk.agent.my_friend	Editorial.SmallTalk
si mir bescht Frï¿½nn	smalltalk.agent.my_friend	Editorial.SmallTalk
si mir nach Frï¿½nn	smalltalk.agent.my_friend	Editorial.SmallTalk
bass du mï¿½i beschte Frï¿½nd	smalltalk.agent.my_friend	Editorial.SmallTalk
bass du mï¿½i Frï¿½nd	smalltalk.agent.my_friend	Editorial.SmallTalk
